MAVEN.UTCGregorian         MAVEN.EarthMJ2000Eq.X   MAVEN.EarthMJ2000Eq.Y   MAVEN.EarthMJ2000Eq.Z   
18 Nov 2013 20:26:24.315   3728.3458100061839      4697.9439610352683      -2784.0400948791848     
18 Nov 2013 20:27:06.674   3321.3913173692426      4943.4404069551574      -2894.752120138995      
18 Nov 2013 20:27:50.958   2887.2103276371099      5187.0842070210037      -3002.8554850767182     
18 Nov 2013 20:28:34.120   2456.6501966031819      5411.3186074860778      -3100.5340713012283     
18 Nov 2013 20:29:13.786   2055.5994303665434      5605.6396073092383      -3183.5467592748491     
18 Nov 2013 20:29:50.100   1684.7643541142122      5773.5995553610765      -3253.8816219629975     
18 Nov 2013 20:30:36.512   1206.8651280388806      5974.471604288432       -3335.9843649929408     
18 Nov 2013 20:31:14.329   815.12173437898218      6126.8330389487164      -3396.5460785496803     
18 Nov 2013 20:32:05.177   286.42267323351291      6316.0568339033825      -3469.2905955766123     
18 Nov 2013 20:32:23.642   94.148993330959627      6380.4431407876855      -3493.3185153939717     
18 Nov 2013 20:32:36.080   -35.38727093943038      6422.54145439077        -3508.805297538845      
18 Nov 2013 20:32:45.003   -128.31611757421464     6452.1204027189951      -3519.574488136836      
18 Nov 2013 20:32:46.942   -148.51290240521169     6458.4809781191989      -3521.8777612662352     
18 Nov 2013 20:32:48.709   -166.90691422042332     6464.2528095035632      -3523.9639377838776     
18 Nov 2013 20:32:51.699   -198.05158474387443     6473.9801623627263      -3527.4713166776269     
18 Nov 2013 20:32:54.958   -231.98228812187739     6484.5128192423408      -3531.256909670597      
18 Nov 2013 20:33:01.605   -301.18489796411058     6505.7861359792369      -3538.8635743971518     
18 Nov 2013 20:33:14.667   -437.13262516482615     6546.7721128755757      -3553.3655580196782     
18 Nov 2013 20:33:39.666   -697.11566738229408     6622.2431400467585      -3579.5045210631938     
18 Nov 2013 20:34:05.959   -970.11710884643094     6697.5030007745527      -3604.7659701635753     
18 Nov 2013 20:34:50.960   -1435.9173061400377     6816.8863691871793      -3642.9219826241238     
18 Nov 2013 20:35:34.166   -1880.9075587768459     6920.843650212445       -3673.8440599469609     
18 Nov 2013 20:36:27.982   -2431.3950423977776     7036.6331943778177      -3705.0776267232313     
18 Nov 2013 20:37:16.600   -2924.5432186852668     7129.0600899197725      -3726.8671921197811     
18 Nov 2013 20:38:03.963   -3400.7472576838891     7208.7920334786386      -3742.6943790539549     
18 Nov 2013 20:39:03.035   -3988.4237552209584     7295.0806862581558      -3755.5959103632717     
18 Nov 2013 20:40:05.531   -4602.2180550753119     7371.8387062118036      -3761.7520069494972     
18 Nov 2013 20:41:10.800   -5234.2528041983078     7437.5826612660421      -3760.8115907849806     
18 Nov 2013 20:42:19.257   -5887.1445453397864     7492.3099389172376      -3752.6211027143841     
18 Nov 2013 20:43:31.176   -6562.0315892410426     7535.7758891247158      -3736.9808401630762     
18 Nov 2013 20:44:47.083   -7262.2730355460517     7567.7814377305731      -3713.5862729071459     
18 Nov 2013 20:46:07.379   -7989.8394865836372     7587.9133128891126      -3682.0967407362314     
18 Nov 2013 20:47:32.636   -8748.034676792442      7595.6863189645037      -3642.054321820804      
18 Nov 2013 20:49:03.456   -9540.150013262084      7590.4619112122309      -3592.9178863105035     
18 Nov 2013 20:50:40.105   -10366.340931106413     7571.561213101897       -3534.3074387524625     
18 Nov 2013 20:52:22.791   -11226.238905470878     7538.4015394821236      -3465.9262134859987     
18 Nov 2013 20:54:12.119   -12122.699059234246     7490.3036271780593      -3387.236245959652      
18 Nov 2013 20:56:09.266   -13062.907744436612     7426.1724086734384      -3297.2190176524368     
18 Nov 2013 20:58:13.672   -14039.895869256132     7345.8561544284821      -3196.199114128663      
18 Nov 2013 21:00:25.570   -15053.347857618386     7248.9876036613487      -3083.9944349783173     
18 Nov 2013 21:02:44.854   -16100.451256191764     7135.5688205256965      -2960.7707638244042     
18 Nov 2013 21:05:11.930   -17182.416353574034     7005.2877616443211      -2826.2869768675619     
18 Nov 2013 21:07:47.001   -18298.95083254909      6858.0297857790329      -2680.4976944091954     
18 Nov 2013 21:10:30.735   -19453.056042347871     6693.2495407683127      -2522.9294601506849     
18 Nov 2013 21:13:23.539   -20645.791688251829     6510.6263913590437      -2353.3451664554941     
18 Nov 2013 21:16:26.304   -21881.393927237386     6309.310373615921       -2171.0325528245553     
18 Nov 2013 21:19:39.672   -23162.199440835408     6088.6755200561402      -1975.5128592343772     
18 Nov 2013 21:23:04.460   -24491.540510862029     5847.8801036232599      -1766.1311294061347     
18 Nov 2013 21:26:41.379   -25871.874477622769     5586.1930871240638      -1542.3440698782929     
18 Nov 2013 21:30:31.418   -27307.272596249699     5302.5356433228726      -1303.3238546615951     
18 Nov 2013 21:34:35.513   -28801.224430724731     4995.8842091509632      -1048.3068764276954     
18 Nov 2013 21:38:54.702   -30357.665919025585     4665.078902723285       -776.42888986940056     
18 Nov 2013 21:43:30.007   -31980.196759093684     4308.9897227028187      -486.86164620592319     
18 Nov 2013 21:48:22.459   -33672.328868317571     3926.4781099023967      -178.77735291510572     
18 Nov 2013 21:53:33.895   -35441.930048687158     3515.3598099628884      149.47821944775305      
18 Nov 2013 21:59:05.169   -37290.983987161671     3074.7526347477487      498.50331692352552      
18 Nov 2013 22:04:57.758   -39224.839279156397     2602.9746462536027      869.53019576226154      
18 Nov 2013 22:11:13.084   -41248.298096746039     2098.440475955776       1263.7063423414436      
18 Nov 2013 22:17:52.548   -43365.846616388873     1559.6238643186398      1682.1284228221089      
18 Nov 2013 22:24:58.222   -45585.300141649706     984.11737445516496      2126.5695274673749      
18 Nov 2013 22:32:31.705   -47911.687809563169     370.18963277634401      2598.2701480512642      
18 Nov 2013 22:40:36.577   -50359.810452676706     -286.5387161399097      3100.4899092092983      
18 Nov 2013 22:49:13.240   -52928.048433501157     -986.10089245207041     3633.1519381273461      
18 Nov 2013 22:58:24.986   -55629.083310703179     -1732.3925724684088     4199.1273428040249      
18 Nov 2013 23:08:13.196   -58465.905989156985     -2526.6804508664004     4799.2830890279511      
18 Nov 2013 23:18:13.196   -61318.523948306982     -3335.1253063939689     5408.1007544431668      
18 Nov 2013 23:28:13.196   -64133.537085265161     -4141.5370129997254     6013.605650108705       
18 Nov 2013 23:38:13.196   -66914.291613072477     -4945.7467202201988     6615.9009088153607      
18 Nov 2013 23:48:13.196   -69663.684816912209     -5747.647399377749      7215.0972275674649      
18 Nov 2013 23:58:13.196   -72384.243761572128     -6547.1770156773455     7811.3082665081693      
19 Nov 2013 00:08:13.196   -75078.187262755178     -7344.3064304058598     8404.6476561209365      
19 Nov 2013 00:18:13.196   -77747.475248206101     -8139.0306032556146     8995.2270719102598      
19 Nov 2013 00:28:13.196   -80393.848489972515     -8931.3621309265491     9583.1550237636511      
19 Nov 2013 00:38:13.196   -83018.860894382786     -9721.3264613545252     10168.536126542956      
19 Nov 2013 00:48:13.196   -85623.9059754505       -10508.958323821997     10751.470695533586      
19 Nov 2013 00:58:13.196   -88210.238735620005     -11294.299050600723     11332.054560932063      
19 Nov 2013 01:08:13.196   -90778.993885942356     -12077.394558429185     11910.37902915984       
19 Nov 2013 01:18:13.196   -93331.201123111779     -12858.293822427213     12486.530941404508      
19 Nov 2013 01:28:13.196   -95867.798021028138     -13637.047720249811     13060.592795167002      
19 Nov 2013 01:38:13.196   -98389.640974343303     -14413.708156432242     13632.642905146984      
19 Nov 2013 01:48:13.196   -100897.51454008218     -15188.327399996037     14202.755587098976      
19 Nov 2013 01:58:13.196   -103392.13945332594     -15960.957585175549     14771.001353374988      
19 Nov 2013 02:08:13.196   -105874.17953868011     -16731.650337432446     15337.447112427377      
19 Nov 2013 02:18:13.196   -108344.24769689669     -17500.456496024875     15902.156367045587      
19 Nov 2013 02:28:13.196   -110802.91111270765     -18267.425911179176     16465.189407861031      
19 Nov 2013 02:38:13.196   -113250.695803532       -19032.607299002299     17026.603499895089      
19 Nov 2013 02:48:13.196   -115688.09060766475     -19796.048141120642     17586.45306079806       
19 Nov 2013 02:58:13.196   -118115.55069364926     -20557.794618957174     18144.789830038932      
19 Nov 2013 03:08:13.196   -120533.50065887747     -21317.891574797453     18701.66302873144       
19 Nov 2013 03:18:13.196   -122942.33727436673     -22076.382493516965     19257.119510074859      
19 Nov 2013 03:28:13.196   -125342.43192359537     -22833.309500173178     19811.203900585842      
19 Nov 2013 03:38:13.196   -127734.13277583459     -23588.713369699275     20363.958732427316      
19 Nov 2013 03:48:13.196   -130117.76672827        -24342.633545742327     20915.42456722229       
19 Nov 2013 03:58:13.196   -132493.64114611133     -25095.10816631958      21465.640111787248      
19 Nov 2013 04:08:13.196   -134862.04542564554     -25846.174094461992     22014.642326242778      
19 Nov 2013 04:18:13.196   -137223.25240163889     -26595.866952404427     22562.466524965133      
19 Nov 2013 04:28:13.196   -139577.51961751364     -27344.22115819047      23109.146470836695      
19 Nov 2013 04:38:13.196   -141925.09047420978     -28091.269963803912     23654.71446323995       
19 Nov 2013 04:48:13.196   -144266.1952715173      -28837.045494132861     24199.201420221252      
19 Nov 2013 04:58:13.196   -146601.05215385658     -29581.578786226321     24742.636955229253      
19 Nov 2013 05:08:13.196   -148929.86797094578     -30324.899828425718     25285.049448809856      
19 Nov 2013 05:18:13.196   -151252.83906247737     -31067.037599051419     25826.466115616011      
19 Nov 2013 05:28:13.196   -153570.1519747976      -31808.020104401912     26366.913067067089      
19 Nov 2013 05:38:13.196   -155881.98411661084     -32547.874415885395     26906.415369969825      
19 Nov 2013 05:48:13.196   -158188.50435989394     -33286.626706152587     27444.997101390498      
19 Nov 2013 05:58:13.196   -160489.873591479       -34024.302284138714     27982.681400047306      
19 Nov 2013 06:08:13.196   -162786.2452201363      -34760.925628953701     28519.490514471832      
19 Nov 2013 06:18:13.196   -165077.7656434399      -35496.520422584057     29055.445848170119      
19 Nov 2013 06:28:13.196   -167364.57467822338     -36231.109581389079     29590.568001996267      
19 Nov 2013 06:38:13.196   -169646.80595801456     -36964.715286389168     30124.87681393564       
19 Nov 2013 06:48:13.196   -171924.5873004747      -37697.359012355657     30658.391396479434      
19 Nov 2013 06:58:13.196   -174198.04104754492     -38429.061555720436     31191.130171758832      
19 Nov 2013 07:08:13.196   -176467.28438072227     -39159.843061330488     31723.110904593897      
19 Nov 2013 07:18:13.196   -178732.42961363759     -39889.723048077416     32254.350733600681      
19 Nov 2013 07:28:13.196   -180993.58446388843     -40618.720433435534     32784.866200489138      
19 Nov 2013 07:38:13.196   -183250.85230588485     -41346.853556944763     33314.673277674294      
19 Nov 2013 07:48:13.196   -185504.3324062941      -42074.140202676041     33843.78739431408       
19 Nov 2013 07:58:13.196   -187754.12014351529     -42800.597620717657     34372.223460878529      
19 Nov 2013 08:08:13.196   -190000.30721248055     -43526.242547721602     34899.995892347331      
